URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/61869260,1.900 KM,Automatik,2003,110,189.000km,2.0,Alfa Romeo,Alfa 147,Benzin
https://olx.ba/artikal/62226510,1.350 KM,Manuelni,1999,76,220.000km,1.6,Fiat,Bravo,Benzin
https://olx.ba/artikal/61892200,1.800 KM,Manuelni,2004,88,0km,1.9,Renault,Megane,Dizel
https://olx.ba/artikal/62063871,1.750 KM,Manuelni,1995,47,91.000km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62224989,1.700 KM,Manuelni,2000,0,280.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/62224585,1.400 KM,Manuelni,1989,45,67.000km,1.1,Zastava,Yugo Koral,Benzin
https://olx.ba/artikal/54239729,1.800 KM,Manuelni,1999,74,270.000km,1.6,Opel,Vectra,Benzin
https://olx.ba/artikal/60318628,2.000 KM,Manuelni,2004,66,320.000km,1.8,Ford,Focus,Dizel
https://olx.ba/artikal/61689016,1.450 KM,Manuelni,2003,66,309.132km,2.0,Citroen,Xsara Picasso,Dizel
https://olx.ba/artikal/62219214,1.850 KM,Manuelni,2001,50,280.000km,1.4,Seat,Ibiza,Plin
https://olx.ba/artikal/61690705,1.350 KM,Manuelni,2001,90,212.486km,1.9,Mercedes-Benz,A 190,Benzin
https://olx.ba/artikal/62215485,2.000 KM,Manuelni,2000,130,290.000km,1.8,Mercedes-Benz,C 180,Benzin
https://olx.ba/artikal/53367932,1.300 KM,Manuelni,1980,40,300.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62112862,2.000 KM,Manuelni,2002,55,24.000km,1.7,Mercedes-Benz,A 180,Dizel
https://olx.ba/artikal/62050077,2.000 KM,Manuelni,2004,66,211.000km,1.6,Kia,Rio,Benzin
https://olx.ba/artikal/62213601,2.000 KM,Manuelni,2003,222,222km,1.6,Mercedes-Benz,A 170,Dizel
https://olx.ba/artikal/61161075,1.900 KM,Manuelni,1996,39,48.096km,1.0,Suzuki,Swift,Benzin
https://olx.ba/artikal/62212992,2.000 KM,Manuelni,1999,50,3.000.000km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62030943,1.900 KM,Manuelni,2003,63,285.123km,1.9,Fiat,Punto,Dizel
https://olx.ba/artikal/62212682,1.850 KM,Manuelni,1978,110,800.593km,1.8,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62212473,1.999 KM,Manuelni,2002,96,296.000km,2.0,Ford,Mondeo,Dizel
https://olx.ba/artikal/62212165,1.900 KM,Manuelni,1989,55,245.232km,1.6,Volkswagen,Jetta,Plin
https://olx.ba/artikal/62212137,1.700 KM,Manuelni,1989,40,280.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62047366,1.200 KM,Manuelni,1985,44,290.000km,1.6,Volkswagen,Jetta,Benzin
https://olx.ba/artikal/62211122,1.650 KM,Manuelni,2000,59,300.000km,1.9,Fiat,Punto,Dizel
https://olx.ba/artikal/54429645,1.500 KM,Automatik,2001,75,190.226km,2.3,Renault,Megane,Dizel
https://olx.ba/artikal/62164575,1.650 KM,Manuelni,2000,50,230.000km,1.7,Opel,Astra,Dizel
https://olx.ba/artikal/62209884,1.100 KM,Manuelni,1996,74,313.009km,1.6,Audi,A4,Benzin
https://olx.ba/artikal/61384483,1.750 KM,Manuelni,1994,55,3.000km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62209504,1.500 KM,Manuelni,2000,40,190.000km,1.0,Hyundai,Atos,Benzin
https://olx.ba/artikal/62208708,1.550 KM,Manuelni,2002,37,276.000km,1.5,Citroen,SAXO,Dizel
https://olx.ba/artikal/61385278,1.800 KM,Manuelni,1997,80,280.000km,1.6,Volkswagen,Passat,Plin
https://olx.ba/artikal/62208477,2.000 KM,Manuelni,1998,81,330.000km,1.9,Audi,A4,Dizel
https://olx.ba/artikal/61531626,2.000 KM,Manuelni,2003,55,282.000km,1.7,Opel,Astra,Dizel
https://olx.ba/artikal/61531735,2.000 KM,Manuelni,2001,44,278.000km,1.4,Seat,Ibiza,Benzin
https://olx.ba/artikal/61993924,1.400 KM,Manuelni,1996,83,302.252km,2.0,Renault,Laguna,Benzin
https://olx.ba/artikal/61086264,2.000 KM,Manuelni,2001,70,250.000km,1.2,Mercedes-Benz,A 170,Benzin
https://olx.ba/artikal/62206783,1.600 KM,Manuelni,1999,66,2.222.222km,1.8,Ford,Mondeo,Dizel
https://olx.ba/artikal/62040331,2.000 KM,Manuelni,2021,51,350.000km,1.9,Peugeot,206,Dizel
https://olx.ba/artikal/59225373,1.300 KM,Manuelni,1993,55,280.000km,1.6,Opel,Astra,Benzin
https://olx.ba/artikal/62206471,1.950 KM,Manuelni,2005,94,326.000km,2.2,Lancia,Phedra,Dizel
https://olx.ba/artikal/62206280,1.500 KM,Manuelni,2005,55,160.000km,1.4,Opel,Corsa,Benzin
https://olx.ba/artikal/62205671,2.000 KM,Manuelni,2001,74,300.000km,2.0,Mazda,626,Dizel
https://olx.ba/artikal/62038462,1.800 KM,Manuelni,2005,55,245.000km,1.4,Seat,Cordoba,Benzin
https://olx.ba/artikal/62204527,1.500 KM,Manuelni,1993,47,173.000km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62136823,1.100 KM,Manuelni,1988,80,1.000.000km,1.8,Audi,80,Benzin
https://olx.ba/artikal/62201487,2.000 KM,Manuelni,2000,66,255.555km,2.0,Peugeot,206,Dizel
https://olx.ba/artikal/62200989,1.200 KM,Manuelni,2000,47,303km,1.3,Škoda,Felicia,Benzin
https://olx.ba/artikal/62200895,2.000 KM,Manuelni,1998,40,177.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/62200466,1.700 KM,Manuelni,1997,66,280.000km,1.9,Seat,Cordoba,Dizel
https://olx.ba/artikal/62200709,1.900 KM,Manuelni,2008,46,13.000km,0.9,Chevrolet,Spark,Benzin
