URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/61859978,700 KM,Manuelni,1993,150.0,125.800km,1.8,Subaru,Legacy,Benzin
https://olx.ba/artikal/61858447,700 KM,Manuelni,2003,47.0,130.000km,1.2,Volkswagen,Polo,Benzin
https://olx.ba/artikal/60903806,700 KM,Manuelni,1988,40.0,222.222km,1.1,Zastava,Yugo Koral,Benzin
https://olx.ba/artikal/60079620,800 KM,Manuelni,1987,40.0,286.354km,1.6,Volkswagen,Jetta,Dizel
https://olx.ba/artikal/61660929,699 KM,Manuelni,1995,55.0,228.000km,1.6,Opel,Vectra,Benzin
https://olx.ba/artikal/59552932,750 KM,Manuelni,1999,37.0,300.000km,1.0,Volkswagen,Polo,Benzin
https://olx.ba/artikal/61653271,1.000 KM,Manuelni,1982,40.0,123.456km,1.4,Volkswagen,Santana,Dizel
https://olx.ba/artikal/61798403,1.000 KM,Manuelni,2000,55.0,2.900.000km,1.6,Daewoo,Lacetti,Benzin
https://olx.ba/artikal/61640471,400 KM,Automatik,1982,57.0,646.646km,1.3,Opel,Agila,Benzin
https://olx.ba/artikal/61777089,1.000 KM,Manuelni,1997,55.0,310.000km,1.4,Nissan,Almera,Benzin
https://olx.ba/artikal/60436704,900 KM,Manuelni,2000,41.0,18.000km,1.0,Daihatsu,Sirion,Benzin
https://olx.ba/artikal/61767887,990 KM,Manuelni,2001,44.0,100.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/61615510,750 KM,Manuelni,1988,51.0,350.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61595086,950 KM,Manuelni,2000,101.0,330.000km,2.0,Opel,Vectra,Benzin
https://olx.ba/artikal/61741081,900 KM,Manuelni,1997,1.3,100.000km,1.3,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61584823,1.000 KM,Manuelni,1986,50.0,3.000.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61735998,999 KM,Manuelni,2001,75.0,250.000km,1.9,Renault,Laguna,Dizel
https://olx.ba/artikal/61720193,650 KM,Manuelni,1989,53.0,25.455km,1.6,Volkswagen,Passat,Benzin
https://olx.ba/artikal/61716766,1.000 KM,Manuelni,2000,55.0,400.000km,1.6,Škoda,Octavia,Benzin
https://olx.ba/artikal/60743834,1.000 KM,Manuelni,2003,66.0,300.000km,2.0,Peugeot,206,Dizel
https://olx.ba/artikal/61706259,1.000 KM,Manuelni,2002,67.0,100.000km,1.5,Lada,110,Benzin
https://olx.ba/artikal/60383950,800 KM,Manuelni,1990,40.0,400.000km,1.6,Volkswagen,Passat,Dizel
